date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:56:36	72765/72765	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:41:56%20GMT	https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/box_color.html	C:/Users/VIDHI%20BORA/Downloads/recap/recap_1/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/box_color.html	(from https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
20:56:36	69087/69087	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:49:29%20GMT	https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/box_group.html	C:/Users/VIDHI%20BORA/Downloads/recap/recap_1/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/box_group.html	(from https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
20:56:37	70328/70328	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:50:03%20GMT	https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_grid.html	C:/Users/VIDHI%20BORA/Downloads/recap/recap_1/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_grid.html	(from https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
20:56:37	68482/68482	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:49:59%20GMT	https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_badges.html	C:/Users/VIDHI%20BORA/Downloads/recap/recap_1/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_badges.html	(from https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
20:56:38	62236/62236	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:49:59%20GMT	https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_border_utilities.html	C:/Users/VIDHI%20BORA/Downloads/recap/recap_1/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_border_utilities.html	(from https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
20:56:38	109789/109789	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:50:03%20GMT	https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_buttons.html	C:/Users/VIDHI%20BORA/Downloads/recap/recap_1/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_buttons.html	(from https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
20:56:38	67448/67448	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:57:07%20GMT	https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_color_utilities.html	C:/Users/VIDHI%20BORA/Downloads/recap/recap_1/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_color_utilities.html	(from https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
20:56:39	67817/67817	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:42:35%20GMT	https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_dropdown.html	C:/Users/VIDHI%20BORA/Downloads/recap/recap_1/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_dropdown.html	(from https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
20:56:39	75583/75583	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:50:00%20GMT	https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_dropdown_grid.html	C:/Users/VIDHI%20BORA/Downloads/recap/recap_1/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_dropdown_grid.html	(from https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
20:56:39	77967/77967	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:50:01%20GMT	https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_progress_bars.html	C:/Users/VIDHI%20BORA/Downloads/recap/recap_1/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_progress_bars.html	(from https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
20:56:40	183510/183510	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:49:47%20GMT	https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/icons_fontawesome.html	C:/Users/VIDHI%20BORA/Downloads/recap/recap_1/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/icons_fontawesome.html	(from https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
